source,target,rating,abs_rating,sign,time
6,2,4,4,positive,1289241911
6,5,2,2,positive,1289241941
6,4,2,2,positive,1289770700
6,7,5,5,positive,1290826367
6,114,2,2,positive,1296291457
6,32,1,1,positive,1296291723
6,173,3,3,positive,1299447999
6,258,1,1,positive,1302322673
6,268,3,3,positive,1302648708
6,219,4,4,positive,1304194321
6,198,2,2,positive,1304826215
6,35,4,4,positive,1311312167
6,664,1,1,positive,1311312174
6,937,1,1,positive,1311396972
6,384,6,6,positive,1311915459
6,521,1,1,positive,1312392223
6,280,1,1,positive,1316572145
6,687,1,1,positive,1318751882
6,1386,3,3,positive,1322088614
6,537,5,5,positive,1323920006
6,1317,2,2,positive,1324260661
6,1566,1,1,positive,1324322271
6,2034,1,1,positive,1342245532
6,2455,1,1,positive,1345501525
6,1383,-10,10,negative,1346725456
6,1810,3,3,positive,1351733352
6,2028,1,1,positive,1354067737
6,1363,8,8,positive,1354068531
6,10,3,3,positive,1354068541
6,1,8,8,positive,1354068551
6,1018,1,1,positive,1355010314
6,1832,1,1,positive,1355010982
6,1624,3,3,positive,1355540573
6,550,1,1,positive,1356834141
6,1331,-10,10,negative,1356834517
6,2642,4,4,positive,1356835679
6,856,8,8,positive,1363836906
6,2188,9,9,positive,1363836946
6,2187,5,5,positive,1363836956
6,1752,5,5,positive,1363836965
2,21,5,5,positive,1289370556
2,20,5,5,positive,1289370622
2,4,5,5,positive,1289771303
2,54,2,2,positive,1296769494
2,132,2,2,positive,1297102509
2,3,8,8,positive,1297570107
2,142,1,1,positive,1297647973
2,110,1,1,positive,1297878331
2,149,1,1,positive,1298346435
2,166,1,1,positive,1298520615
2,156,1,1,positive,1298929715
2,1,8,8,positive,1299556897
2,7,5,5,positive,1301898700
2,60,5,5,positive,1301898705
2,62,8,8,positive,1301898738
2,77,2,2,positive,1301898759
2,198,5,5,positive,1304347196
2,455,1,1,positive,1305063765
2,401,2,2,positive,1305064402
2,632,1,1,positive,1305917102
2,658,1,1,positive,1305986186
2,516,1,1,positive,1306038669
2,651,2,2,positive,1306115047
2,758,1,1,positive,1306859587
2,744,1,1,positive,1306862212
2,634,1,1,positive,1307038479
2,732,1,1,positive,1307038484
2,13,1,1,positive,1307038831
2,779,1,1,positive,1307137061
2,654,3,3,positive,1307189946
2,202,2,2,positive,1307592440
2,832,-10,10,negative,1311132603
2,204,-1,1,negative,1347122733
2,1363,8,8,positive,1347122757
2,167,8,8,positive,1347122785
2,39,8,8,positive,1347122790
2,223,8,8,positive,1347122796
2,245,8,8,positive,1347122805
2,178,3,3,positive,1347122821
2,23,5,5,positive,1347122835
2,135,2,2,positive,1347122875
2,6,5,5,positive,1347122880
2,3397,5,5,positive,1359344943
2,41,2,2,positive,1363241046
2,5929,8,8,positive,1427727594
5,1,3,3,positive,1289660298
5,6,3,3,positive,1289660319
5,7,1,1,positive,1289660347
1,15,1,1,positive,1289243140
1,5,4,4,positive,1289710643
1,32,1,1,positive,1290666953
1,34,1,1,positive,1290750434
1,17,9,9,positive,1290969236
1,31,2,2,positive,1291052764
1,13,3,3,positive,1291090930
1,20,2,2,positive,1291505266
1,54,1,1,positive,1292196392
1,56,2,2,positive,1292957195
1,71,1,1,positive,1293481238
1,74,1,1,positive,1293579274
1,78,1,1,positive,1293749573
1,68,2,2,positive,1294083688
1,81,1,1,positive,1294982042
1,101,1,1,positive,1295163873
1,119,1,1,positive,1296512102
1,2,8,8,positive,1296629343
1,76,2,2,positive,1296631215
1,23,6,6,positive,1296657671
1,138,1,1,positive,1297373817
1,110,1,1,positive,1297627293
1,145,1,1,positive,1297789863
1,114,2,2,positive,1298061893
1,111,2,2,positive,1298062294
1,7,9,9,positive,1298267256
1,165,1,1,positive,1298487310
1,19,6,6,positive,1298950354
1,223,7,7,positive,1301329948
1,225,1,1,positive,1301354601
1,132,1,1,positive,1301366233
1,227,1,1,positive,1301369843
1,104,1,1,positive,1301600149
1,64,3,3,positive,1301975394
1,245,1,1,positive,1302017978
1,247,1,1,positive,1302043777
1,234,1,1,positive,1302237679
1,251,2,2,positive,1302292173
1,260,1,1,positive,1302449430
1,261,1,1,positive,1302453499
1,109,1,1,positive,1302729569
1,271,1,1,positive,1302800924
1,274,1,1,positive,1302847189
1,141,1,1,positive,1302881463
1,296,1,1,positive,1303161461
1,180,1,1,positive,1303356386
1,311,1,1,positive,1303486159
1,312,1,1,positive,1303486511
1,139,2,2,positive,1304004287
1,324,1,1,positive,1304034493
1,356,1,1,positive,1304098159
1,51,1,1,positive,1304355927
1,384,1,1,positive,1304359309
1,399,1,1,positive,1304368646
1,438,1,1,positive,1304488104
1,442,1,1,positive,1304533792
1,144,5,5,positive,1304552017
1,219,3,3,positive,1304563247
1,47,3,3,positive,1304570103
1,320,3,3,positive,1304579354
1,464,1,1,positive,1304659251
1,431,1,1,positive,1304699103
1,486,1,1,positive,1304845772
1,416,1,1,positive,1304874495
1,505,1,1,positive,1305009175
1,421,2,2,positive,1305062650
1,80,2,2,positive,1305064090
1,29,4,4,positive,1305071801
1,511,1,1,positive,1305072251
1,494,1,1,positive,1305091692
1,534,5,5,positive,1305254867
1,537,1,1,positive,1305267250
1,563,1,1,positive,1305438446
1,567,1,1,positive,1305443881
1,569,1,1,positive,1305447851
1,215,1,1,positive,1305509119
1,579,1,1,positive,1305600755
1,61,5,5,positive,1306083435
1,266,1,1,positive,1306094215
1,21,6,6,positive,1306120947
1,630,2,2,positive,1306124744
1,677,1,1,positive,1306132108
1,695,1,1,positive,1306336012
1,672,-5,5,negative,1306513049
1,773,1,1,positive,1306939155
1,647,2,2,positive,1306939892
1,396,4,4,positive,1307049475
1,353,5,5,positive,1307051395
1,9,2,2,positive,1307079554
1,779,1,1,positive,1307117325
1,545,1,1,positive,1307327004
1,1134,1,1,positive,1308060193
1,3,6,6,positive,1308241841
1,8,7,7,positive,1308241904
1,197,8,8,positive,1308241990
1,60,8,8,positive,1308241997
1,41,8,8,positive,1308242001
1,39,8,8,positive,1308242007
1,33,7,7,positive,1308242022
1,6,8,8,positive,1308242030
1,10,7,7,positive,1308242057
1,270,5,5,positive,1308316797
1,539,1,1,positive,1309065236
1,522,2,2,positive,1311199990
1,882,1,1,positive,1311286702
1,861,1,1,positive,1311538216
1,1369,1,1,positive,1311653852
1,1010,2,2,positive,1312252188
1,309,2,2,positive,1312557813
1,1447,1,1,positive,1315028115
1,1541,3,3,positive,1320536477
1,1557,1,1,positive,1320692084
1,1386,5,5,positive,1320897150
1,134,3,3,positive,1321212290
1,350,1,1,positive,1321218985
1,1353,2,2,positive,1321484568
1,178,7,7,positive,1323560232
1,592,3,3,positive,1324013224
1,57,6,6,positive,1325731951
1,1555,1,1,positive,1326396349
1,36,3,3,positive,1326840244
1,1727,1,1,positive,1326863467
1,1352,3,3,positive,1327446649
1,1487,2,2,positive,1327604119
1,120,3,3,positive,1327641203
1,1749,1,1,positive,1327700513
1,1693,2,2,positive,1329181544
1,1245,1,1,positive,1329521010
1,1281,1,1,positive,1329682462
1,304,3,3,positive,1330495191
1,1802,1,1,positive,1330664416
1,823,3,3,positive,1331013156
1,540,1,1,positive,1331067539
1,1714,2,2,positive,1331525944
1,1316,5,5,positive,1331930345
1,1860,1,1,positive,1332460768
1,1053,2,2,positive,1333326244
1,1753,-10,10,negative,1333403159
1,1201,8,8,positive,1333421158
1,1366,3,3,positive,1333511733
1,1944,2,2,positive,1333598594
1,1363,6,6,positive,1333599170
1,1921,1,1,positive,1335904474
1,1701,5,5,positive,1336016017
1,1317,5,5,positive,1336107393
1,1656,6,6,positive,1336230301
1,1899,1,1,positive,1336449239
1,2046,4,4,positive,1336494115
1,2123,3,3,positive,1338748836
1,2124,1,1,positive,1338778776
1,1771,-10,10,negative,1339444338
1,2142,3,3,positive,1340901838
1,2096,-10,10,negative,1341116252
1,2322,2,2,positive,1342637362
1,729,2,2,positive,1342985886
1,2341,1,1,positive,1343106885
1,1585,2,2,positive,1343107074
1,4,10,10,positive,1343107173
1,171,2,2,positive,1343357724
1,143,5,5,positive,1344980398
1,492,1,1,positive,1345075709
1,2455,1,1,positive,1345437549
1,635,3,3,positive,1345650003
1,2410,-10,10,negative,1345780384
1,2471,-10,10,negative,1345780392
1,2034,1,1,positive,1346349635
1,2484,1,1,positive,1349635337
1,2761,1,1,positive,1350077134
1,125,2,2,positive,1354515266
1,1815,2,2,positive,1355268337
1,1217,1,1,positive,1361284724
1,3417,2,2,positive,1361468203
1,330,5,5,positive,1361775786
1,1620,4,4,positive,1362080980
1,308,3,3,positive,1362524310
1,3719,1,1,positive,1363893764
1,1508,1,1,positive,1367549394
1,1810,3,3,positive,1375802128
1,2125,5,5,positive,1376411536
1,1565,3,3,positive,1376656259
1,4458,1,1,positive,1376679281
1,3527,2,2,positive,1376689791
1,159,2,2,positive,1376689838
1,1953,2,2,positive,1376689867
1,2642,1,1,positive,1376689874
1,2045,1,1,positive,1376689917
1,2388,1,1,positive,1376690460
1,2266,1,1,positive,1376861513
1,2303,1,1,positive,1376861566
1,202,1,1,positive,1376861616
1,1566,2,2,positive,1376861712
1,2175,1,1,positive,1381943076
1,481,1,1,positive,1385402011
1,1318,2,2,positive,1385534417
1,4172,1,1,positive,1387229168
1,4559,1,1,positive,1387247686
1,703,1,1,positive,1392872603
1,4857,2,2,positive,1393114486
1,5418,2,2,positive,1393122217
1,4291,2,2,positive,1393133776
1,3319,1,1,positive,1393270822
1,1396,4,4,positive,1393291668
1,1615,9,9,positive,1394508251
1,4921,2,2,positive,1396943518
1,2067,1,1,positive,1397797784
1,115,1,1,positive,1398368138
1,3919,1,1,positive,1402018236
1,192,3,3,positive,1409525335
1,5689,2,2,positive,1410575569
1,35,4,4,positive,1411966327
1,1383,-10,10,negative,1411966351
1,62,-5,5,negative,1411966421
1,905,-5,5,negative,1411966511
1,135,4,4,positive,1411968388
1,5925,2,2,positive,1427161808
15,97,2,2,positive,1294919858
15,70,1,1,positive,1295011593
15,96,3,3,positive,1297359911
15,167,1,1,positive,1303416432
15,297,2,2,positive,1304514927
15,455,1,1,positive,1305028685
15,729,1,1,positive,1314458586
15,93,1,1,positive,1325782726
15,1453,1,1,positive,1325782910
15,1281,1,1,positive,1335281242
15,36,1,1,positive,1335434055
15,239,4,4,positive,1335646760
15,2141,1,1,positive,1339602312
15,1566,3,3,positive,1343309212
15,4291,1,1,positive,1397939321
4,3,7,7,positive,1289245277
4,26,1,1,positive,1289641693
4,6,5,5,positive,1289770756
4,31,1,1,positive,1290197549
4,57,5,5,positive,1292795818
4,61,2,2,positive,1292823618
4,66,2,2,positive,1293050723
4,72,4,4,positive,1293523499
4,41,1,1,positive,1294081177
4,87,1,1,positive,1294300030
4,39,1,1,positive,1295416571
4,282,2,2,positive,1303175312
4,202,8,8,positive,1304275176
4,125,2,2,positive,1304277450
4,19,6,6,positive,1304288061
4,2,6,6,positive,1304313526
4,466,1,1,positive,1304651955
4,455,2,2,positive,1305034767
4,352,2,2,positive,1305261958
4,304,5,5,positive,1305761024
4,540,1,1,positive,1306102554
4,7,7,7,positive,1306102575
4,319,5,5,positive,1306214744
4,45,6,6,positive,1306469022
4,538,2,2,positive,1306611684
4,522,1,1,positive,1307058364
4,537,1,1,positive,1307103234
4,13,8,8,positive,1307592205
4,1246,7,7,positive,1308861974
4,908,5,5,positive,1309239244
4,1257,5,5,positive,1309243972
4,832,-10,10,negative,1309309207
4,713,-10,10,negative,1309380593
4,423,-8,8,negative,1309380665
4,62,7,7,positive,1309390992
4,935,4,4,positive,1318631855
4,1386,2,2,positive,1322613940
4,1566,1,1,positive,1322970543
4,1664,1,1,positive,1324567719
4,592,1,1,positive,1325063002
4,425,5,5,positive,1328843186
4,1352,3,3,positive,1330146332
4,1656,3,3,positive,1335173610
4,1984,3,3,positive,1335173624
4,1366,2,2,positive,1337546128
4,2145,2,2,positive,1338928608
4,17,3,3,positive,1339024627
4,1992,1,1,positive,1339033102
4,2173,2,2,positive,1341953593
4,1899,1,1,positive,1342477401
4,2198,3,3,positive,1342680253
4,1,10,10,positive,1343107243
4,2344,1,1,positive,1345160673
4,1201,8,8,positive,1345615389
4,189,1,1,positive,1345946574
4,492,4,4,positive,1346127083
4,2470,2,2,positive,1347104729
4,2998,1,1,positive,1353463838
4,35,5,5,positive,1374079267
4,3699,1,1,positive,1374080345
4,5014,8,8,positive,1384567143
4,4852,3,3,positive,1385465129
4,5498,3,3,positive,1396948409
13,16,8,8,positive,1289254254
13,10,8,8,positive,1289254300
13,17,2,2,positive,1289873611
13,29,2,2,positive,1290088212
13,1,8,8,positive,1290520563
13,34,1,1,positive,1290761556
13,7,1,1,positive,1291757016
13,54,2,2,positive,1296690764
13,200,1,1,positive,1300839913
13,518,1,1,positive,1305596162
13,594,1,1,positive,1305608997
13,605,1,1,positive,1305657912
13,159,1,1,positive,1305658191
13,612,1,1,positive,1305667849
13,619,1,1,positive,1305692800
13,620,1,1,positive,1305697758
13,96,1,1,positive,1305698600
13,593,2,2,positive,1305723965
13,491,3,3,positive,1306724603
13,741,1,1,positive,1306758479
13,742,1,1,positive,1306767840
13,647,2,2,positive,1306772472
13,744,1,1,positive,1306780556
13,751,1,1,positive,1306806552
13,634,1,1,positive,1306870000
13,765,1,1,positive,1306871598
13,2,2,2,positive,1307038941
13,522,1,1,positive,1307058884
13,687,1,1,positive,1307166125
13,862,1,1,positive,1307213925
13,775,1,1,positive,1307216059
13,699,1,1,positive,1307229556
13,887,1,1,positive,1307231255
13,537,1,1,positive,1307262653
13,56,1,1,positive,1307276062
13,654,1,1,positive,1307277901
13,4,8,8,positive,1307638649
13,156,1,1,positive,1307696755
13,832,-10,10,negative,1307817872
13,199,1,1,positive,1308586664
13,1222,1,1,positive,1308701429
13,1223,1,1,positive,1308701488
13,1226,1,1,positive,1308708525
13,621,1,1,positive,1309394451
13,882,1,1,positive,1312346789
13,468,1,1,positive,1313391560
13,516,1,1,positive,1313397134
13,1533,1,1,positive,1319549347
13,1537,1,1,positive,1319834201
13,579,1,1,positive,1325196019
13,1366,1,1,positive,1330458976
13,1794,1,1,positive,1330484825
13,1833,1,1,positive,1330643718
13,493,3,3,positive,1331101678
13,1744,1,1,positive,1331683244
13,1317,3,3,positive,1332188472
13,1902,1,1,positive,1332358960
13,425,2,2,positive,1332580507
13,1909,1,1,positive,1332713159
13,1910,2,2,positive,1332722473
13,1753,-5,5,negative,1332740903
13,1923,1,1,positive,1333005795
13,1937,1,1,positive,1334105868
13,1986,1,1,positive,1334962465
13,1990,3,3,positive,1335064649
13,3598,1,1,positive,1335152786
13,1245,1,1,positive,1335305634
13,1815,1,1,positive,1335396155
13,2006,2,2,positive,1335420518
13,1053,2,2,positive,1335499375
13,1281,-1,1,negative,1335688146
13,2011,1,1,positive,1335778835
13,350,2,2,positive,1335867869
13,2030,3,3,positive,1336081718
13,1565,2,2,positive,1336505841
13,104,3,3,positive,1336517158
13,591,2,2,positive,1336522049
13,2071,1,1,positive,1337219368
13,905,3,3,positive,1337879459
13,1771,-1,1,negative,1337908908
13,2108,1,1,positive,1338047646
13,616,2,2,positive,1338506639
13,1412,1,1,positive,1338517021
13,2123,2,2,positive,1338518652
13,1394,1,1,positive,1338521769
13,1593,1,1,positive,1338538536
13,2158,1,1,positive,1339112143
13,546,2,2,positive,1339115964
13,1585,1,1,positive,1339274301
13,2016,1,1,positive,1339483007
13,1204,2,2,positive,1339913503
13,1754,1,1,positive,1339927293
13,2207,1,1,positive,1340188808
13,1044,6,6,positive,1340190120
13,1921,5,5,positive,1340360032
13,1555,4,4,positive,1340469153
13,635,2,2,positive,1340554322
13,1677,3,3,positive,1340555368
13,120,2,2,positive,1340645348
13,2173,1,1,positive,1340664340
13,270,1,1,positive,1340664404
13,2063,1,1,positive,1340984378
13,1998,2,2,positive,1341272933
13,592,2,2,positive,1341337705
13,2229,-2,2,negative,1341350663
13,2261,-3,3,negative,1341350830
13,2048,2,2,positive,1341420055
13,1788,2,2,positive,1341533214
13,1967,3,3,positive,1341621413
13,1860,4,4,positive,1341871316
13,2224,1,1,positive,1343467326
13,2214,6,6,positive,1343594815
13,1991,3,3,positive,1343723388
13,1527,1,1,positive,1343812957
13,2221,1,1,positive,1344206163
13,1922,1,1,positive,1344355623
13,342,2,2,positive,1344494605
13,1832,1,1,positive,1344554053
13,2411,2,2,positive,1344703425
13,2419,1,1,positive,1344747233
13,2176,4,4,positive,1345276480
13,1396,3,3,positive,1345406044
13,1890,2,2,positive,1346040064
13,710,1,1,positive,1346973647
13,2555,2,2,positive,1347054308
13,2557,1,1,positive,1347072830
13,2552,1,1,positive,1347073513
13,2566,-10,10,negative,1347295517
13,1675,3,3,positive,1347370437
13,1757,2,2,positive,1347418144
13,492,1,1,positive,1347560285
13,540,3,3,positive,1347584658
13,2589,2,2,positive,1347588084
13,2615,1,1,positive,1347854970
13,1886,1,1,positive,1347856683
13,1916,2,2,positive,1347902397
13,2194,1,1,positive,1348793158
13,2198,5,5,positive,1349421061
13,2607,2,2,positive,1349512571
13,2310,1,1,positive,1349528287
13,25,10,10,positive,1352414354
13,2962,1,1,positive,1352583385
13,791,1,1,positive,1352584828
13,606,-1,1,negative,1352775524
13,2498,-10,10,negative,1352796329
13,3029,1,1,positive,1357800352
13,41,4,4,positive,1359683074
13,2784,1,1,positive,1359886103
13,3434,1,1,positive,1359887317
13,2835,1,1,positive,1360141742
13,308,1,1,positive,1360185556
13,2642,1,1,positive,1360289176
13,2961,1,1,positive,1360309229
13,3453,1,1,positive,1360381103
13,2392,1,1,positive,1360496952
13,3219,1,1,positive,1360608273
13,3483,1,1,positive,1360822926
13,3472,-10,10,negative,1360884431
13,3319,3,3,positive,1360894695
13,1629,1,1,positive,1361343252
13,3624,1,1,positive,1363209555
13,160,2,2,positive,1363340399
13,1352,-10,10,negative,1365374612
13,732,2,2,positive,1365720195
13,3628,2,2,positive,1366085143
13,2897,-1,1,negative,1366664817
13,3923,1,1,positive,1367292822
13,3642,1,1,positive,1367427021
13,1899,3,3,positive,1367450998
13,4124,1,1,positive,1367483797
13,3120,1,1,positive,1367541253
13,3465,1,1,positive,1367637209
13,910,1,1,positive,1367676025
13,3649,1,1,positive,1367964256
13,2839,2,2,positive,1368062329
13,4236,1,1,positive,1368225412
13,4264,1,1,positive,1368477062
13,3405,1,1,positive,1368477945
13,2512,1,1,positive,1368502070
13,2125,2,2,positive,1368912751
13,3185,1,1,positive,1368921333
13,2618,5,5,positive,1368982913
13,4301,2,2,positive,1369089100
13,3397,5,5,positive,1369462915
13,4238,1,1,positive,1369690483
13,6,-1,1,negative,1369868288
13,135,5,5,positive,1369882386
13,2028,-3,3,negative,1369885030
13,4360,1,1,positive,1370333286
13,3545,4,4,positive,1370415516
13,1334,5,5,positive,1372898206
13,1656,3,3,positive,1375002838
13,4515,2,2,positive,1375235921
13,35,3,3,positive,1375310977
13,4384,1,1,positive,1379014785
13,705,-2,2,negative,1388719392
13,3040,2,2,positive,1402437576
13,3988,4,4,positive,1405163286
13,5718,-2,2,negative,1407593800
13,5913,2,2,positive,1424518464
13,353,6,6,positive,1435125236
13,5917,1,1,positive,1437636650
13,5972,1,1,positive,1437801956
13,5973,-10,10,negative,1437887243
13,2045,2,2,positive,1438360542
13,4532,3,3,positive,1439951668
13,5984,2,2,positive,1439968884
13,2252,3,3,positive,1449543772
13,4608,2,2,positive,1453317761
13,1128,1,1,positive,1453679632
10,1,8,8,positive,1289555656
10,6,7,7,positive,1289555731
10,21,8,8,positive,1289555745
10,8,1,1,positive,1289555767
10,25,10,10,positive,1289555841
10,2,7,7,positive,1289555871
10,3,7,7,positive,1289555875
10,41,8,8,positive,1323398450
7,5,1,1,positive,1289362700
7,34,1,1,positive,1290644457
7,6,3,3,positive,1290826591
7,29,2,2,positive,1291376109
7,13,1,1,positive,1291757031
7,3,6,6,positive,1292200462
7,36,3,3,positive,1292361185
7,53,4,4,positive,1292442401
7,55,1,1,positive,1292447857
7,20,4,4,positive,1293409870
7,28,2,2,positive,1293481688
7,76,1,1,positive,1293604590
7,19,5,5,positive,1293632316
7,89,2,2,positive,1294438542
7,109,1,1,positive,1295847189
7,111,1,1,positive,1296085723
7,100,2,2,positive,1296528668
7,47,1,1,positive,1296528718
7,122,1,1,positive,1296553673
7,116,2,2,positive,1296688773
7,133,1,1,positive,1296792123
7,54,5,5,positive,1296913557
7,137,1,1,positive,1297370441
7,60,5,5,positive,1297467512
7,141,2,2,positive,1297482206
7,56,3,3,positive,1297980493
7,161,3,3,positive,1298169938
7,1,7,7,positive,1298267346
7,166,1,1,positive,1298759550
7,184,2,2,positive,1299088214
7,78,1,1,positive,1299093649
7,185,1,1,positive,1299151907
7,33,2,2,positive,1299206119
7,188,1,1,positive,1299283600
7,35,2,2,positive,1299679074
7,195,1,1,positive,1299732938
7,156,1,1,positive,1299912911
7,200,2,2,positive,1300015561
7,204,1,1,positive,1300232688
7,110,3,3,positive,1300240396
7,210,1,1,positive,1300411884
7,206,2,2,positive,1300568050
7,207,3,3,positive,1300720137
7,96,1,1,positive,1300745124
7,212,1,1,positive,1301023265
7,179,-1,1,negative,1301032557
7,232,3,3,positive,1301569599
7,2,5,5,positive,1301899167
7,39,5,5,positive,1301899174
7,41,5,5,positive,1301899185
7,21,5,5,positive,1301899226
7,72,2,2,positive,1301899299
7,62,6,6,positive,1301899326
7,175,2,2,positive,1302112511
7,143,4,4,positive,1302236754
7,260,4,4,positive,1302449755
7,243,4,4,positive,1302824119
7,269,1,1,positive,1302845532
7,240,2,2,positive,1302970025
7,285,1,1,positive,1302978023
7,294,1,1,positive,1303099054
7,272,2,2,positive,1303251550
7,254,1,1,positive,1303263457
7,135,2,2,positive,1303269567
7,266,2,2,positive,1303391987
7,314,2,2,positive,1303544457
7,249,1,1,positive,1303553119
7,108,1,1,positive,1303683667
7,219,1,1,positive,1303692370
7,228,1,1,positive,1303692429
7,326,1,1,positive,1303702693
7,296,4,4,positive,1303754914
7,4,4,4,positive,1303848523
7,202,4,4,positive,1303881691
7,354,1,1,positive,1303900440
7,134,3,3,positive,1304024850
7,368,1,1,positive,1304043629
7,142,3,3,positive,1304118180
7,393,1,1,positive,1304280998
7,159,1,1,positive,1304286473
7,345,2,2,positive,1304303804
7,155,4,4,positive,1304314930
