id,in_degree,out_degree
6,44,40
2,41,45
5,3,3
1,226,215
15,13,15
4,54,63
3,21,0
13,191,210
16,1,0
10,5,8
7,216,232
21,26,22
20,10,0
8,3,1
17,19,26
23,26,18
25,113,0
26,11,12
28,11,7
29,35,33
31,2,2
32,6,6
34,3,3
35,535,763
36,33,35
37,12,13
44,3,2
39,25,25
45,11,11
19,10,12
46,1,1
47,2,2
51,29,30
52,1,1
53,2,2
54,7,7
41,95,100
55,1,1
57,80,59
61,9,5
65,1,1
56,6,7
66,1,1
69,9,7
70,6,6
71,1,1
72,11,11
74,1,1
75,10,7
68,5,5
64,69,78
76,3,3
77,14,21
78,10,8
60,66,63
79,1,1
80,17,17
81,9,6
62,52,14
83,1,1
104,54,56
86,1,1
87,2,2
89,2,2
94,1,1
95,6,6
96,37,42
97,4,4
99,1,1
88,6,7
101,7,5
100,8,12
103,1,0
105,2,1
106,1,1
107,2,2
108,6,4
109,6,5
110,15,12
111,6,5
112,14,26
115,24,32
114,9,6
119,3,3
122,1,2
127,3,2
129,6,2
116,1,1
131,1,0
132,32,32
133,2,2
113,36,42
125,8,8
135,93,92
134,12,11
137,2,2
138,2,2
140,1,1
141,21,21
139,3,4
142,11,11
143,20,22
144,41,43
145,1,1
146,15,15
147,3,2
148,5,5
93,13,12
149,28,36
150,3,5
152,10,3
153,6,4
154,1,1
155,2,3
156,7,7
157,2,2
158,3,1
160,7,7
161,3,3
162,2,2
163,8,9
165,2,1
166,13,13
167,11,10
168,1,1
169,2,1
170,1,1
171,50,53
172,1,1
173,4,3
174,4,4
175,1,1
176,3,4
177,9,10
178,34,37
179,7,2
180,10,9
181,6,5
159,24,24
182,1,1
183,3,3
184,19,23
185,2,2
186,12,11
187,1,1
33,32,32
188,2,2
189,3,2
190,1,1
191,3,2
192,17,18
193,2,2
194,3,3
195,1,1
196,1,1
198,50,45
199,4,6
200,7,8
201,4,2
202,115,127
203,9,10
204,31,24
205,1,0
206,15,15
207,7,6
209,30,27
210,1,1
120,6,5
211,2,1
212,6,6
213,1,1
214,14,12
215,53,54
216,9,9
217,3,3
218,2,1
219,18,18
220,1,0
223,11,0
224,7,8
225,3,6
227,6,6
228,13,14
230,32,5
231,4,4
232,1,1
233,3,1
208,2,2
234,3,2
235,13,9
222,13,12
236,2,3
237,1,1
238,6,8
239,8,11
240,4,3
241,5,7
242,16,14
244,5,4
164,4,5
245,11,4
246,5,3
247,1,1
248,2,3
250,3,2
251,9,8
249,20,20
243,9,12
252,1,1
253,0,1
255,1,2
256,33,32
257,18,93
258,2,2
259,2,3
260,3,0
261,8,7
262,7,6
263,2,2
264,2,0
265,5,3
266,17,18
267,1,1
268,5,5
229,4,3
221,8,8
269,5,4
271,2,2
272,12,9
273,25,27
274,21,17
275,2,1
